  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
    98,     P-788,   2019/11/08 05:57:59,           1-17,       3,       -11.951,       -93.731,         17312,      -1,    1,                                        ,                                        ,                 H2O, 1573218184.68,         0.206,         0.501,         6.501,        -0.001,        -0.007,         0.094,        78.327,        34.327,         0.939,        58.435,         0.863,        -0.632,        0.0000,        0.0000,    0,        42.750,         1,      17,       4,  DGK_norm,       0
    99,     P-788,   2019/11/08 06:06:55,           1-17,       4,       -11.949,       -93.594,         17329,       0,    1,                                        ,                                        ,                 H2O, 1573218720.94,         0.195,         0.466,         6.285,        -0.002,        -0.005,         0.096,        78.659,        34.346,         0.936,        56.965,         0.863,        -0.961,        0.0000,        0.0000,    0,        42.625,         1,      17,       4,  DGK_norm,       0
   100,     P-788,   2019/11/08 06:15:51,           1-17,       5,       -11.990,       -93.442,         17253,       0,    1,                                        ,                                        ,                 H2O, 1573219256.15,         0.183,         0.411,         6.881,        -0.001,        -0.004,         0.110,        78.172,        33.782,         0.971,        58.364,         0.863,        -0.683,       -0.0000,       -0.0000,    0,        42.750,         1,      17,       4,  DGK_norm,       0
   101,     P-789,   2019/11/08 06:25:27,           1-18,       1,       -15.667,      -119.925,         17770,      -1,    1,                                        ,                                        ,                 H2O, 1573219832.18,         0.200,         0.391,         5.298,        -0.001,        -0.002,         0.048,        81.094,        34.968,         0.948,        58.182,         0.864,        -0.986,       -0.0000,       -0.0000,    0,        42.688,         1,      18,       4,  DGK_norm,       0
   102,     P-789,   2019/11/08 06:34:23,           1-18,       2,       -15.749,      -120.887,         17300,      -1,    1,                                        ,                                        ,                 H2O, 1573220368.71,         0.187,         0.438,         6.538,        -0.001,        -0.003,         0.115,        78.497,        34.029,         0.944,        57.584,         0.863,        -0.821,       -0.0000,       -0.0000,    0,        42.688,         1,      18,       4,  DGK_norm,       0
   103,     P-789,   2019/11/08 06:43:18,           1-18,       3,       -15.758,      -121.146,         17293,      -1,    1,                                        ,                                        ,                 H2O, 1573220904.01,         0.191,         0.403,         6.594,        -0.000,        -0.002,         0.102,        78.483,        34.156,         0.937,        56.985,         0.862,        -0.865,        0.0000,        0.0000,    0,        42.625,         1,      18,       4,  DGK_norm,       0
   104,     P-789,   2019/11/08 06:52:14,           1-18,       4,       -15.782,      -121.172,         17290,       0,    1,                                        ,                                        ,                 H2O, 1573221439.57,         0.196,         0.447,         6.123,        -0.001,        -0.002,         0.106,        78.223,        34.240,         0.948,        57.938,         0.864,        -0.628,       -0.0000,       -0.0000,    0,        42.625,         1,      18,       4,  DGK_norm,       0
   105,     P-789,   2019/11/08 07:01:11,           1-18,       5,       -15.770,      -121.254,         17286,       0,    1,                                        ,                                        ,                 H2O, 1573221976.86,         0.191,         0.393,         6.254,        -0.001,        -0.002,         0.090,        78.325,        33.861,         0.960,        58.385,         0.863,        -0.703,       -0.0000,       -0.0000,    0,        42.750,         1,      18,       4,  DGK_norm,       0
   106,     P-790,   2019/11/08 07:10:48,           1-19,       1,       -13.658,      -106.222,         17620,      -1,    1,                                        ,                                        ,                 H2O, 1573222553.01,         0.212,         0.397,         7.377,        -0.001,        -0.002,         0.117,        80.131,        34.817,         0.966,        58.542,         0.864,        -0.831,       -0.0000,       -0.0000,    0,        42.438,         1,      19,       4,  DGK_norm,       0
   107,     P-790,   2019/11/08 07:19:43,           1-19,       2,       -13.616,      -105.522,         17107,      -1,    1,                                        ,                                        ,                 H2O, 1573223088.80,         0.189,         0.425,         8.368,        -0.001,        -0.003,         0.163,        77.667,        33.338,         0.941,        56.872,         0.862,        -0.890,        0.0000,        0.0000,    0,        42.312,         1,      19,       4,  DGK_norm,       0
   108,     P-790,   2019/11/08 07:28:38,           1-19,       3,       -13.641,      -105.378,         17521,      -1,    1,                                        ,                                        ,                 H2O, 1573223623.74,         0.192,         0.438,         8.447,        -0.001,        -0.004,         0.161,        79.680,        34.395,         0.975,        58.212,         0.864,        -0.835,        0.0000,        0.0000,    0,        42.188,         1,      19,       4,  DGK_norm,       0
   109,     P-790,   2019/11/08 07:37:35,           1-19,       4,       -13.617,      -105.270,         17796,       0,    1,                                        ,                                        ,                 H2O, 1573224160.09,         0.199,         0.385,         9.519,        -0.001,        -0.003,         0.192,        81.045,        34.736,         0.987,        60.167,         0.863,        -0.712,       -0.0000,       -0.0000,    0,        42.000,         1,      19,       4,  DGK_norm,       0
   110,     P-790,   2019/11/08 07:46:30,           1-19,       5,       -13.614,      -105.325,         17227,       0,    1,                                        ,                                        ,                 H2O, 1573224695.55,         0.199,         0.436,         9.685,        -0.001,        -0.003,         0.203,        78.075,        34.015,         0.938,        57.190,         0.863,        -0.808,       -0.0000,       -0.0000,    0,        41.938,         1,      19,       4,  DGK_norm,       0
   111,     P-791,   2019/11/08 07:56:06,           1-20,       1,       -14.364,      -110.159,         17851,      -1,    1,                                        ,                                        ,                 H2O, 1573225271.56,         0.194,         0.396,         8.959,        -0.000,        -0.003,         0.176,        81.394,        34.957,         0.984,        59.735,         0.863,        -0.802,       -0.0000,       -0.0000,    0,        41.938,         1,      20,       4,  DGK_norm,       0
   112,     P-791,   2019/11/08 08:05:02,           1-20,       2,       -14.392,      -110.339,         17729,      -1,    1,                                        ,                                        ,                 H2O, 1573225807.87,         0.188,         0.399,         8.208,        -0.000,        -0.003,         0.165,        80.812,        34.454,         0.998,        59.812,         0.863,        -0.719,        0.0000,        0.0000,    0,        41.938,         1,      20,       4,  DGK_norm,       0
   113,     P-791,   2019/11/08 08:13:59,           1-20,       3,       -14.330,      -110.243,         17929,      -1,    1,                                        ,                                        ,                 H2O, 1573226344.05,         0.180,         0.408,        10.781,        -0.001,        -0.002,         0.219,        81.863,        35.403,         0.965,        58.848,         0.863,        -0.935,       -0.0000,       -0.0000,    0,        41.938,         1,      20,       4,  DGK_norm,       0
   114,     P-791,   2019/11/08 08:22:54,           1-20,       4,       -14.370,      -110.383,         17981,       0,    1,                                        ,                                        ,                 H2O, 1573226879.56,         0.206,         0.394,         7.299,        -0.001,        -0.004,         0.130,        81.978,        35.209,         1.022,        60.692,         0.864,        -0.727,        0.0000,        0.0000,    0,        42.000,         1,      20,       4,  DGK_norm,       0
   115,     P-791,   2019/11/08 08:31:51,           1-20,       5,       -14.369,      -110.147,         17972,       0,    1,                                        ,                                        ,                 H2O, 1573227415.93,         0.192,         0.385,         8.458,         0.000,        -0.002,         0.143,        81.873,        35.285,         1.002,        60.572,         0.863,        -0.680,       -0.0000,       -0.0000,    0,        42.000,         1,      20,       4,  DGK_norm,       0
   116,     P-792,   2019/11/08 08:41:28,           1-21,       1,       -14.106,      -110.672,         17945,      -1,    1,                                        ,                                        ,                 H2O, 1573227992.92,         0.194,         0.425,         7.975,        -0.001,        -0.002,         0.137,        81.954,        35.150,         0.972,        59.831,         0.863,        -0.895,       -0.0000,       -0.0000,    0,        42.062,         1,      21,       4,  DGK_norm,       0
   117,     P-792,   2019/11/08 08:50:23,           1-21,       2,       -14.136,      -110.696,         17689,      -1,    1,                                        ,                                        ,                 H2O, 1573228528.91,         0.203,         0.400,         8.796,        -0.001,        -0.003,         0.165,        80.540,        34.894,         0.951,        58.425,         0.863,        -0.876,       -0.0000,       -0.0000,    0,        42.250,         1,      21,       4,  DGK_norm,       0
   118,     P-792,   2019/11/08 08:59:19,           1-21,       3,       -14.116,      -110.729,         17529,      -1,    1,                                        ,                                        ,                 H2O, 1573229064.97,         0.197,         0.382,         8.152,        -0.001,        -0.003,         0.145,        79.657,        34.319,         0.987,        59.180,         0.864,        -0.741,       -0.0000,       -0.0000,    0,        42.375,         1,      21,       4,  DGK_norm,       0
   119,     P-792,   2019/11/08 09:08:16,           1-21,       4,       -14.167,      -110.776,         17086,       0,    1,                                        ,                                        ,                 H2O, 1573229601.00,         0.185,         0.412,         7.060,        -0.001,        -0.002,         0.128,        77.326,        33.605,         0.961,        57.082,         0.863,        -0.794,        0.0000,        0.0000,    0,        42.250,         1,      21,       4,  DGK_norm,       0
   120,     P-792,   2019/11/08 09:17:11,           1-21,       5,       -14.125,      -110.697,         17097,       0,    1,                                        ,                                        ,                 H2O, 1573230137.25,         0.186,         0.462,         6.951,        -0.001,        -0.004,         0.121,        77.406,        33.732,         0.923,        56.644,         0.864,        -0.844,       -0.0000,       -0.0000,    0,        42.188,         1,      21,       4,  DGK_norm,       0
   121,     P-793,   2019/11/08 09:26:45,           1-22,       1,       -13.605,      -105.935,         17613,      -1,    1,                                        ,                                        ,                 H2O, 1573230710.90,         0.174,         0.432,         7.125,        -0.001,        -0.003,         0.103,        80.086,        34.610,         0.973,        58.958,         0.862,        -0.736,       -0.0000,       -0.0000,    0,        42.250,         1,      22,       4,  DGK_norm,       0
   122,     P-793,   2019/11/08 09:35:41,           1-22,       2,       -13.572,      -105.795,         17767,      -1,    1,                                        ,                                        ,                 H2O, 1573231246.67,         0.210,         0.419,         6.833,        -0.001,        -0.002,         0.102,        80.950,        34.873,         0.984,        59.237,         0.862,        -0.893,       -0.0000,       -0.0000,    0,        42.312,         1,      22,       4,  DGK_norm,       0
   123,     P-793,   2019/11/08 09:44:38,           1-22,       3,       -13.576,      -105.697,         17642,      -1,    1,                                        ,                                        ,                 H2O, 1573231783.21,         0.197,         0.402,         8.703,        -0.001,        -0.002,         0.158,        80.206,        34.869,         0.974,        58.527,         0.863,        -0.811,       -0.0000,       -0.0000,    0,        42.250,         1,      22,       4,  DGK_norm,       0
   124,     P-793,   2019/11/08 09:53:34,           1-22,       4,       -13.575,      -105.623,         17359,       0,    1,                                        ,                                        ,                 H2O, 1573232319.80,         0.204,         0.423,         6.734,        -0.001,        -0.003,         0.114,        78.697,        34.162,         0.961,        58.282,         0.863,        -0.741,        0.0000,        0.0000,    0,        42.250,         1,      22,       4,  DGK_norm,       0
   125,     P-793,   2019/11/08 10:02:30,           1-22,       5,       -13.590,      -105.668,         17196,       0,    1,                                        ,                                        ,                 H2O, 1573232856.02,         0.193,         0.441,         7.483,        -0.001,        -0.003,         0.144,        77.960,        33.685,         0.923,        57.538,         0.863,        -0.786,        0.0000,        0.0000,    0,        42.375,         1,      22,       4,  DGK_norm,       0
   126,     P-794,   2019/11/08 10:12:05,           1-23,       1,       -14.214,      -109.513,         17822,      -1,    1,                                        ,                                        ,                 H2O, 1573233430.43,         0.173,         0.404,         7.736,        -0.001,        -0.003,         0.115,        81.131,        35.048,         0.981,        59.686,         0.864,        -0.751,       -0.0000,       -0.0000,    0,        42.375,         1,      23,       4,  DGK_norm,       0
   127,     P-794,   2019/11/08 10:21:02,           1-23,       2,       -14.188,      -109.737,         17657,      -1,    1,                                        ,                                        ,                 H2O, 1573233967.22,         0.196,         0.424,         6.592,        -0.001,        -0.003,         0.103,        80.515,        34.645,         0.961,        58.137,         0.864,        -0.948,       -0.0000,       -0.0000,    0,        42.312,         1,      23,       4,  DGK_norm,       0
   128,     P-794,   2019/11/08 10:29:57,           1-23,       3,       -14.224,      -109.732,         17661,      -1,    1,                                        ,                                        ,                 H2O, 1573234503.46,         0.178,         0.371,         7.373,        -0.000,        -0.001,         0.139,        80.420,        34.749,         0.961,        58.190,         0.864,        -0.881,       -0.0000,       -0.0000,    0,        42.438,         1,      23,       4,  DGK_norm,       0
   129,     P-794,   2019/11/08 10:38:53,           1-23,       4,       -14.214,      -109.817,         17100,       0,    1,                                        ,                                        ,                 H2O, 1573235038.14,         0.203,         0.444,         7.323,        -0.001,        -0.002,         0.143,        77.471,        33.741,         0.918,        56.492,         0.862,        -0.932,        0.0000,        0.0000,    0,        42.375,         1,      23,       4,  DGK_norm,       0
   130,     P-794,   2019/11/08 10:47:49,           1-23,       5,       -14.227,      -109.862,         17311,       0,    1,                                        ,                                        ,                 H2O, 1573235574.26,         0.185,         0.440,         6.376,         0.000,        -0.002,         0.114,        78.590,        33.987,         0.931,        57.547,         0.863,        -0.845,        0.0000,        0.0000,    0,        42.438,         1,      23,       4,  DGK_norm,       0
   131,     P-795,   2019/11/08 10:57:24,           1-24,       1,       -12.709,       -99.895,         17366,      -1,    1,                                        ,                                        ,                 H2O, 1573236149.74,         0.200,         0.435,         9.647,        -0.001,        -0.003,         0.204,        78.901,        34.250,         0.937,        57.254,         0.864,        -0.922,       -0.0000,       -0.0000,    0,        42.438,         1,      24,       4,  DGK_norm,       0
   132,     P-795,   2019/11/08 11:06:20,           1-24,       2,       -12.696,       -99.410,         16886,      -1,    1,                                        ,                                        ,                 H2O, 1573236685.51,         0.210,         0.384,         8.381,        -0.002,        -0.002,         0.176,        76.414,        33.452,         0.917,        55.139,         0.863,        -0.943,        0.0000,        0.0000,    0,        42.188,         1,      24,       4,  DGK_norm,       0
   133,     P-795,   2019/11/08 11:15:15,           1-24,       3,       -12.698,       -99.337,         17163,      -1,    1,                                        ,                                        ,                 H2O, 1573237220.60,         0.206,         0.396,         7.495,        -0.001,        -0.003,         0.147,        77.656,        33.463,         0.968,        58.787,         0.863,        -0.602,        0.0000,        0.0000,    0,        41.938,         1,      24,       4,  DGK_norm,       0
   134,     P-795,   2019/11/08 11:24:11,           1-24,       4,       -12.683,       -99.275,         16858,       0,    1,                                        ,                                        ,                 H2O, 1573237756.54,         0.189,         0.449,         9.346,        -0.001,        -0.002,         0.204,        76.139,        33.527,         0.916,        55.367,         0.863,        -0.908,       -0.0000,       -0.0000,    0,        41.875,         1,      24,       4,  DGK_norm,       0
   135,     P-795,   2019/11/08 11:33:07,           1-24,       5,       -12.702,       -99.098,         17397,       0,    1,                                        ,                                        ,                 H2O, 1573238292.82,         0.195,         0.443,         8.091,        -0.001,        -0.003,         0.163,        78.951,        34.116,         0.946,        58.168,         0.863,        -0.820,       -0.0000,       -0.0000,    0,        41.625,         1,      24,       4,  DGK_norm,       0
   136,     P-796,   2019/11/08 11:42:43,           1-25,       1,       -13.045,      -102.264,         17826,      -1,    1,                                        ,                                        ,                 H2O, 1573238868.14,         0.184,         0.382,         9.015,        -0.001,        -0.002,         0.188,        81.037,        34.775,         1.024,        61.220,         0.864,        -0.523,        0.0000,        0.0000,    0,        41.500,         1,      25,       4,  DGK_norm,       0
   137,     P-796,   2019/11/08 11:51:39,           1-25,       2,       -12.996,      -102.400,         17647,      -1,    1,                                        ,                                        ,                 H2O, 1573239404.40,         0.187,         0.395,         8.268,        -0.001,        -0.004,         0.164,        80.352,        34.791,         0.953,        58.185,         0.864,        -0.915,       -0.0000,       -0.0000,    0,        41.500,         1,      25,       4,  DGK_norm,       0
   138,     P-796,   2019/11/08 12:00:35,           1-25,       3,       -13.016,      -102.297,         17133,      -1,    1,                                        ,                                        ,                 H2O, 1573239940.45,         0.211,         0.408,         9.344,        -0.001,        -0.003,         0.203,        77.602,        33.488,         0.951,        57.848,         0.863,        -0.705,       -0.0000,       -0.0000,    0,        41.125,         1,      25,       4,  DGK_norm,       0
   139,     P-796,   2019/11/08 12:09:30,           1-25,       4,       -13.036,      -102.401,         17195,       0,    1,                                        ,                                        ,                 H2O, 1573240475.77,         0.194,         0.431,         9.064,        -0.000,        -0.003,         0.194,        77.873,        34.068,         0.944,        56.651,         0.864,        -0.868,        0.0000,        0.0000,    0,        41.062,         1,      25,       4,  DGK_norm,       0
   140,     P-796,   2019/11/08 12:18:26,           1-25,       5,       -13.019,      -102.376,         17360,       0,    1,                                        ,                                        ,                 H2O, 1573241011.53,         0.180,         0.438,         9.305,        -0.001,        -0.003,         0.198,        78.908,        34.077,         0.941,        57.221,         0.864,        -1.039,       -0.0000,       -0.0000,    0,        41.188,         1,      25,       4,  DGK_norm,       0
   141,     P-797,   2019/11/08 12:28:02,           1-26,       1,       -15.444,      -115.741,         17902,      -1,    1,                                        ,                                        ,                 H2O, 1573241588.03,         0.196,         0.388,         9.290,        -0.000,        -0.002,         0.192,        81.588,        35.255,         0.965,        59.436,         0.864,        -0.854,       -0.0000,       -0.0000,    0,        41.125,         1,      26,       4,  DGK_norm,       0
   142,     P-797,   2019/11/08 12:36:58,           1-26,       2,       -15.483,      -116.409,         17321,      -1,    1,                                        ,                                        ,                 H2O, 1573242123.66,         0.184,         0.439,         8.667,        -0.000,        -0.001,         0.184,        78.507,        34.450,         0.933,        56.735,         0.864,        -0.903,        0.0000,        0.0000,    0,        41.125,         1,      26,       4,  DGK_norm,       0
   143,     P-797,   2019/11/08 12:45:53,           1-26,       3,       -15.492,      -116.353,         17470,      -1,    1,                                        ,                                        ,                 H2O, 1573242658.92,         0.208,         0.387,         9.736,        -0.001,        -0.001,         0.211,        79.359,        34.304,         0.964,        58.078,         0.865,        -0.818,       -0.0000,       -0.0000,    0,        41.125,         1,      26,       4,  DGK_norm,       0
   144,     P-797,   2019/11/08 12:54:49,           1-26,       4,       -15.518,      -116.408,         17640,       0,    1,                                        ,                                        ,                 H2O, 1573243194.26,         0.188,         0.408,        11.481,        -0.000,        -0.002,         0.252,        80.057,        34.842,         0.983,        59.080,         0.864,        -0.667,        0.0000,        0.0000,    0,        41.062,         1,      26,       4,  DGK_norm,       0
   145,     P-797,   2019/11/08 13:03:44,           1-26,       5,       -15.519,      -116.466,         17616,       0,    1,                                        ,                                        ,                 H2O, 1573243729.86,         0.200,         0.400,         8.919,        -0.001,        -0.002,         0.189,        80.016,        34.549,         0.980,        59.416,         0.864,        -0.689,       -0.0000,       -0.0000,    0,        41.062,         1,      26,       4,  DGK_norm,       0
   146,     P-798,   2019/11/08 13:13:19,           1-27,       1,       -13.977,      -107.320,         18023,      -1,    1,                                        ,                                        ,                 H2O, 1573244304.93,         0.208,         0.393,         8.480,        -0.001,        -0.001,         0.175,        82.054,        35.748,         0.998,        60.054,         0.865,        -0.704,        0.0000,        0.0000,    0,        41.250,         1,      27,       4,  DGK_norm,       0
   147,     P-798,   2019/11/08 13:22:16,           1-27,       2,       -13.911,      -106.808,         17203,      -1,    1,                                        ,                                        ,                 H2O, 1573244841.26,         0.200,         0.415,        10.467,        -0.001,        -0.002,         0.230,        77.984,        33.881,         0.941,        56.932,         0.864,        -0.856,        0.0000,        0.0000,    0,        41.125,         1,      27,       4,  DGK_norm,       0
   148,     P-798,   2019/11/08 13:31:12,           1-27,       3,       -13.921,      -106.819,         17404,      -1,    1,                                        ,                                        ,                 H2O, 1573245376.95,         0.181,         0.416,         9.715,        -0.001,        -0.003,         0.216,        79.049,        34.216,         0.950,        57.686,         0.864,        -0.860,       -0.0000,       -0.0000,    0,        41.125,         1,      27,       4,  DGK_norm,       0
   149,     P-798,   2019/11/08 13:40:07,           1-27,       4,       -13.919,      -106.765,         17304,       0,    1,                                        ,                                        ,                 H2O, 1573245912.32,         0.180,         0.458,        11.237,        -0.001,        -0.002,         0.240,        78.421,        34.294,         0.936,        56.945,         0.864,        -0.876,        0.0000,        0.0000,    0,        41.062,         1,      27,       4,  DGK_norm,       0
   150,     P-798,   2019/11/08 13:49:04,           1-27,       5,       -13.919,      -106.714,         17435,       0,    1,                                        ,                                        ,                 H2O, 1573246449.22,         0.192,         0.367,        10.484,        -0.001,        -0.001,         0.228,        78.992,        34.549,         0.952,        58.081,         0.866,        -0.737,       -0.0000,       -0.0000,    0,        41.000,         1,      27,       4,  DGK_norm,       0
   151,     P-799,   2019/11/08 13:58:39,           1-28,       1,       -15.529,      -116.451,         17788,      -1,    1,                                        ,                                        ,                 H2O, 1573247024.00,         0.193,         0.426,         9.191,        -0.000,        -0.003,         0.192,        80.826,        35.028,         0.994,        59.940,         0.863,        -0.632,       -0.0000,       -0.0000,    0,        41.062,         1,      28,       4,  DGK_norm,       0
   152,     P-799,   2019/11/08 14:07:35,           1-28,       2,       -15.537,      -116.853,         17324,      -1,    1,                                        ,                                        ,                 H2O, 1573247560.30,         0.190,         0.425,        10.732,         0.000,        -0.000,         0.232,        78.605,        33.990,         0.955,        57.632,         0.863,        -0.851,        0.0000,        0.0000,    0,        41.062,         1,      28,       4,  DGK_norm,       0
   153,     P-799,   2019/11/08 14:16:31,           1-28,       3,       -15.568,      -116.929,         17381,      -1,    1,                                        ,                                        ,                 H2O, 1573248096.72,         0.182,         0.429,        11.017,        -0.001,        -0.002,         0.245,        78.795,        34.381,         0.953,        57.632,         0.864,        -0.753,       -0.0000,       -0.0000,    0,        41.062,         1,      28,       4,  DGK_norm,       0
   154,     P-799,   2019/11/08 14:25:27,           1-28,       4,       -15.568,      -116.932,         17247,       0,    1,                                        ,                                        ,                 H2O, 1573248632.80,         0.188,         0.429,        10.610,        -0.001,        -0.002,         0.233,        78.104,        34.124,         0.943,        57.059,         0.863,        -0.745,        0.0000,        0.0000,    0,        41.188,         1,      28,       4,  DGK_norm,       0
   155,     P-799,   2019/11/08 14:34:22,           1-28,       5,       -15.560,      -116.997,         17356,       0,    1,                                        ,                                        ,                 H2O, 1573249167.35,         0.183,         0.396,        11.320,        -0.000,        -0.001,         0.247,        78.808,        34.264,         0.940,        56.912,         0.865,        -0.928,       -0.0000,       -0.0000,    0,        41.062,         1,      28,       4,  DGK_norm,       0
   156,     P-800,   2019/11/08 14:43:55,           1-29,       1,       -17.618,      -136.508,         18116,      -1,    1,                                        ,                                        ,                 H2O, 1573249740.46,         0.184,         0.380,         7.783,        -0.000,        -0.002,         0.156,        82.897,        35.642,         0.962,        59.118,         0.864,        -1.037,        0.0000,        0.0000,    0,        41.062,         1,      29,       4,  DGK_norm,       0
   157,     P-800,   2019/11/08 14:52:51,           1-29,       2,       -17.651,      -137.124,         18082,      -1,    1,                                        ,                                        ,                 H2O, 1573250276.07,         0.184,         0.381,         9.846,        -0.001,         0.000,         0.202,        82.690,        35.428,         0.957,        59.627,         0.863,        -0.957,       -0.0000,       -0.0000,    0,        41.125,         1,      29,       4,  DGK_norm,       0
   158,     P-800,   2019/11/08 15:01:47,           1-29,       3,       -17.686,      -137.411,         17906,      -1,    1,                                        ,                                        ,                 H2O, 1573250812.59,         0.186,         0.406,        12.737,         0.000,         0.001,         0.279,        81.509,        35.357,         0.965,        59.527,         0.864,        -0.757,        0.0000,        0.0000,    0,        41.062,         1,      29,       4,  DGK_norm,       0
   159,     P-800,   2019/11/08 15:10:43,           1-29,       4,       -17.691,      -137.494,         17829,       0,    1,                                        ,                                        ,                 H2O, 1573251347.82,         0.179,         0.383,         9.362,        -0.000,        -0.001,         0.202,        81.172,        35.162,         0.975,        59.030,         0.865,        -0.729,        0.0000,        0.0000,    0,        41.188,         1,      29,       4,  DGK_norm,       0
   160,     P-800,   2019/11/08 15:19:38,           1-29,       5,       -17.689,      -137.514,         17738,       0,    1,                                        ,                                        ,                 H2O, 1573251883.45,         0.202,         0.372,         9.285,        -0.001,        -0.000,         0.198,        80.585,        34.939,         0.982,        59.669,         0.863,        -0.627,       -0.0000,       -0.0000,    0,        41.000,         1,      29,       4,  DGK_norm,       0
   161,     P-801,   2019/11/08 15:29:11,           1-30,       1,       -15.689,      -118.572,         17748,      -1,    1,                                        ,                                        ,                 H2O, 1573252456.54,         0.167,         0.393,        11.674,        -0.001,        -0.002,         0.248,        80.729,        34.991,         0.969,        59.046,         0.864,        -0.776,        0.0000,        0.0000,    0,        41.062,         1,      30,       4,  DGK_norm,       0
   162,     P-801,   2019/11/08 15:38:07,           1-30,       2,       -15.670,      -117.804,         17751,      -1,    1,                                        ,                                        ,                 H2O, 1573252992.34,         0.188,         0.410,        10.856,        -0.001,        -0.001,         0.234,        80.802,        34.874,         0.984,        59.004,         0.863,        -0.873,        0.0000,        0.0000,    0,        41.125,         1,      30,       4,  DGK_norm,       0
   163,     P-801,   2019/11/08 15:47:03,           1-30,       3,       -15.678,      -117.867,         17700,      -1,    1,                                        ,                                        ,                 H2O, 1573253528.72,         0.192,         0.430,         9.188,         0.000,        -0.002,         0.196,        80.519,        34.892,         0.943,        58.628,         0.864,        -0.844,       -0.0000,       -0.0000,    0,        41.438,         1,      30,       4,  DGK_norm,       0
   164,     P-801,   2019/11/08 15:55:59,           1-30,       4,       -15.668,      -117.728,         17600,       0,    1,                                        ,                                        ,                 H2O, 1573254064.04,         0.186,         0.409,        10.687,        -0.001,        -0.002,         0.232,        79.871,        34.731,         0.960,        59.067,         0.864,        -0.708,        0.0000,        0.0000,    0,        41.188,         1,      30,       4,  DGK_norm,       0
   165,     P-801,   2019/11/08 16:04:54,           1-30,       5,       -15.691,      -117.700,         17499,       0,    1,                                        ,                                        ,                 H2O, 1573254599.33,         0.187,         0.425,        11.776,        -0.000,        -0.003,         0.258,        79.537,        34.496,         0.937,        57.706,         0.865,        -0.951,       -0.0000,       -0.0000,    0,        41.188,         1,      30,       4,  DGK_norm,       0
   166,     P-802,   2019/11/08 16:14:28,           1-31,       1,       -13.363,      -104.487,         18183,      -1,    1,                                        ,                                        ,                 H2O, 1573255173.50,         0.200,         0.397,         9.242,        -0.001,        -0.003,         0.189,        83.176,        35.584,         1.002,        60.532,         0.865,        -0.860,       -0.0000,       -0.0000,    0,        41.125,         1,      31,       4,  DGK_norm,       0
   167,     P-802,   2019/11/08 16:23:24,           1-31,       2,       -13.333,      -103.852,         17512,      -1,    1,                                        ,                                        ,                 H2O, 1573255709.71,         0.171,         0.425,        15.033,        -0.000,        -0.002,         0.336,        79.669,        34.232,         0.965,        58.239,         0.866,        -0.904,       -0.0000,       -0.0000,    0,        41.062,         1,      31,       4,  DGK_norm,       0
   168,     P-802,   2019/11/08 16:32:20,           1-31,       3,       -13.311,      -103.635,         17365,      -1,    1,                                        ,                                        ,                 H2O, 1573256245.40,         0.195,         0.421,        14.368,         0.000,        -0.003,         0.326,        78.725,        34.421,         0.951,        57.279,         0.864,        -0.840,       -0.0000,       -0.0000,    0,        41.125,         1,      31,       4,  DGK_norm,       0
   169,     P-802,   2019/11/08 16:41:14,           1-31,       4,       -13.294,      -103.556,         17689,       0,    1,                                        ,                                        ,                 H2O, 1573256780.06,         0.190,         0.383,        12.304,        -0.001,        -0.003,         0.278,        80.347,        34.449,         0.998,        60.616,         0.865,        -0.649,       -0.0000,       -0.0000,    0,        41.312,         1,      31,       4,  DGK_norm,       0
   170,     P-802,   2019/11/08 16:50:10,           1-31,       5,       -13.317,      -103.606,         17307,       0,    1,                                        ,                                        ,                 H2O, 1573257315.68,         0.213,         0.394,        12.440,        -0.001,        -0.002,         0.280,        78.332,        34.266,         0.959,        57.734,         0.864,        -0.775,        0.0000,        0.0000,    0,        41.125,         1,      31,       4,  DGK_norm,       0
   171,     P-803,   2019/11/08 16:59:44,           1-32,       1,       -15.411,      -115.748,         18027,      -1,    1,                                        ,                                        ,                 H2O, 1573257890.38,         0.185,         0.411,        11.177,        -0.000,        -0.002,         0.243,        82.200,        35.252,         1.010,        60.864,         0.865,        -0.743,       -0.0000,       -0.0000,    0,        41.188,         1,      32,       4,  DGK_norm,       0
   172,     P-803,   2019/11/08 17:08:41,           1-32,       2,       -15.457,      -116.250,         17865,      -1,    1,                                        ,                                        ,                 H2O, 1573258425.91,         0.202,         0.427,        13.271,        -0.001,        -0.002,         0.303,        81.366,        34.922,         0.987,        60.163,         0.864,        -0.757,        0.0000,        0.0000,    0,        41.000,         1,      32,       4,  DGK_norm,       0
   173,     P-803,   2019/11/08 17:17:36,           1-32,       3,       -15.463,      -116.381,         17327,      -1,    1,                                        ,                                        ,                 H2O, 1573258962.13,         0.185,         0.443,        14.640,         0.000,        -0.003,         0.335,        78.465,        34.332,         0.963,        57.382,         0.865,        -0.748,       -0.0000,       -0.0000,    0,        40.938,         1,      32,       4,  DGK_norm,       0
